Episode 1, Total reward: 4.7, Mean loss: -inf, Epsilon: 0.995
Episode 2, Total reward: 3.2, Mean loss: -inf, Epsilon: 0.990
Episode 3, Total reward: 3.7000000000000006, Mean loss: 0.17588487809354608, Epsilon: 0.985
Episode 4, Total reward: 7.300000000000001, Mean loss: 0.13679157383739948, Epsilon: 0.980
Episode 5, Total reward: 4.6000000000000005, Mean loss: 0.11409553915262222, Epsilon: 0.975
Episode 6, Total reward: 3.0000000000000004, Mean loss: 0.09729148771451868, Epsilon: 0.970
Episode 7, Total reward: 5.8, Mean loss: 0.09178932910335474, Epsilon: 0.966
Episode 8, Total reward: 5.3, Mean loss: 0.08825560712388583, Epsilon: 0.961
Episode 9, Total reward: 4.7, Mean loss: 0.07765890643000603, Epsilon: 0.956
Episode 10, Total reward: 1.8, Mean loss: 0.0794970609602474, Epsilon: 0.951
Episode 11, Total reward: 12.6, Mean loss: 0.07624892603073802, Epsilon: 0.946
Episode 12, Total reward: 5.3, Mean loss: 0.07579111631797708, Epsilon: 0.942
Episode 13, Total reward: 7.800000000000001, Mean loss: 0.08710651418992452, Epsilon: 0.937
Episode 14, Total reward: 4.1000000000000005, Mean loss: 0.09420123944679896, Epsilon: 0.932
Episode 15, Total reward: 2.7000000000000006, Mean loss: 0.09968303799629212, Epsilon: 0.928
Episode 16, Total reward: 2.8000000000000003, Mean loss: 0.09741818124339693, Epsilon: 0.923
Episode 17, Total reward: 2.900000000000001, Mean loss: 0.10540266594161159, Epsilon: 0.918
Episode 18, Total reward: 5.9, Mean loss: 0.1076205988916067, Epsilon: 0.914
Episode 19, Total reward: 5.3999999999999995, Mean loss: 0.11115081555077008, Epsilon: 0.909
Episode 20, Total reward: 3.200000000000001, Mean loss: 0.11020843535661698, Epsilon: 0.905
Episode 21, Total reward: 5.9, Mean loss: 0.122228244388545, Epsilon: 0.900
Episode 22, Total reward: 2.900000000000001, Mean loss: 0.1357215360427896, Epsilon: 0.896
Episode 23, Total reward: 1.9000000000000001, Mean loss: 0.15710375990186418, Epsilon: 0.891
Episode 24, Total reward: 5.700000000000001, Mean loss: 0.14187186784469163, Epsilon: 0.887
